"nombre","nombre_oficial","pais_operador","operador","usos","finalidad","clase_orbita","periodo","masa","fecha","NORAD"
"Globalstar M091 (Globalstar 91, Globalstar 2-9)","Globalstar M091","USA","Globalstar","Commercial","Communications","LEO","114,1",700,13/07/2011,37741
"Globalstar M092 (Globalstar 92, Globalstar 2-16)","Globalstar M092","USA","Globalstar","Commercial","Communications","LEO","114,1",700,28/12/2011,38043
"Globalstar M093 (Globalstar 87, Globalstar 2-20)","Globalstar M093","USA","Globalstar","Commercial","Communications","LEO","113,35",700,06/02/2013,39073
"Globalstar M094 (Globalstar 93, Globalstar 2-21)","Globalstar M094","USA","Globalstar","Commercial","Communications","LEO","103,44",700,06/02/2013,39074
"Globalstar M095 (Globalstar 96, Globalstar 2-24)","Globalstar M095","USA","Globalstar","Commercial","Communications","LEO","114,08",700,06/02/2013,39077
"Globalstar M096 (Globalstar 94, Globalstar 2-22)","Globalstar M096","USA","Globalstar","Commercial","Communications","LEO","103,48",700,06/02/2013,39075
"Globalstar M097 (Globalstar 78, Globalstar 2-19)","Globalstar M097","USA","Globalstar","Commercial","Communications","LEO","113,96",700,06/02/2013,39072
"Glonass 701 (Glonass-K, Cosmos 2471)","Cosmos 2471","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,78",935,26/02/2011,37372
"Glonass 702 (Glonass K, Cosmos 2501)","Cosmos 2501","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","676,15",935,01/12/2014,40315
"Glonass 705 (Glonass M, Cosmos 2547)","Cosmos 2547","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,5",1.415,25/10/2020,46805
"Glonass 716 (Glonass 35-2, Cosmos 2425)","Cosmos 2425","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,75",1.480,25/12/2006,29670
"Glonass 717 (Glonass 35-3, Cosmos 2426)","Cosmos 2426","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,75",1.480,25/12/2006,29671
"Glonass 719 (Glonass 36-2, Cosmos 2432)","Cosmos 2432","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,83",1.480,26/10/2007,32276
"Glonass 720 (Glonass 36-3, Cosmos 2433)","Cosmos 2433","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,67",1.480,26/10/2007,32275
"Glonass 721 (Glonass 37-1, Cosmos 2435)","Cosmos 2434","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","680,91",1.480,25/12/2007,32393
"Glonass 723 (Glonass 37-3, Cosmos 2436)","Cosmos 2436","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","680,75",1.480,25/12/2007,32395
"Glonass 730 (Glonass 41-1, Cosmos 2456)","Cosmos 2456","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","681,53",1.415,14/12/2009,36111
"Glonass 731 (Glonass 42-1, Cosmos 2459)","Cosmos 2459","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,85",1.415,01/03/2010,36400
"Glonass 732 (Glonass 42-3, Cosmos 2460)","Cosmos 2460","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,81",1.415,01/03/2010,36402
"Glonass 733 (Glonass 41-2, Cosmos 2457)","Cosmos 2457","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","670,47",1.415,14/12/2009,36112
"Glonass 735 (Glonass 42-2, Cosmos 2461)","Cosmos 2461","Russia","Ministry of Defense","Military/Commercial","Navigation/Global Positioning","MEO","675,81",1.415,01/03/2010,36401
