fecha,total,acumulado
2013-06-12,5,723
2013-06-25,5,728
2013-06-27,1,729
2013-06-28,1,730
2013-07-02,2,732
2013-07-05,2,734
2013-07-06,1,735
2013-07-15,1,736
2013-07-19,4,740
2013-07-25,2,742
2013-08-08,1,743
2013-08-12,1,744
2013-08-22,1,745
2013-08-28,1,746
2013-08-29,2,748
2013-08-31,1,749
2013-09-14,1,750
2013-09-18,1,751
2013-09-23,1,752
2013-09-29,2,754
2013-10-25,2,756
2013-10-29,1,757
2013-11-02,1,758
2013-11-09,3,761
2013-11-11,1,762
2013-11-19,1,763
2013-11-20,1,764
2013-11-21,12,776
2013-11-22,3,779
2013-11-25,1,780
2013-12-20,1,781
2013-12-25,3,784
2013-12-26,1,785
2013-12-28,1,786
2014-01-12,1,787
2014-01-23,1,788
2014-02-07,1,789
2014-02-08,1,790
2014-02-14,1,791
2014-02-21,1,792
2014-02-27,1,793
2014-03-04,1,794
2014-03-07,3,797
2014-03-15,2,799
2014-03-22,2,801
2014-03-31,1,802
2014-04-04,1,803
2014-04-09,2,805
2014-04-28,2,807
2014-04-30,1,808
2014-05-01,1,809
2014-05-08,1,810
2014-05-17,1,811
2014-05-22,1,812
2014-05-23,4,816
2014-05-24,5,821
2014-05-26,1,822
2014-06-01,1,823
2014-06-02,2,825
2014-06-11,5,830
2014-06-12,2,832
2014-06-14,1,833
2014-06-19,18,851
2014-06-30,5,856
2014-07-09,1,857
2014-07-10,1,858
2014-07-12,1,859
2014-07-14,3,862
2014-07-28,2,864
2014-08-07,6,870
2014-08-09,2,872
2014-08-13,1,873
2014-08-19,2,875
2014-08-22,2,877
2014-09-04,1,878
2014-09-08,3,881
2014-09-16,1,882
2014-09-27,1,883
2014-09-28,1,884
2014-10-04,1,885
2014-10-07,4,889
2014-10-12,3,892
2014-10-15,1,893
2014-10-16,2,895
2014-10-20,1,896
2014-10-21,1,897
2014-10-27,1,898
2014-10-29,1,899
2014-10-30,1,900
2014-11-09,2,902
2014-11-14,1,903
2014-11-20,1,904
2014-12-13,1,905
2014-12-15,1,906
2014-12-18,4,910
2014-12-19,1,911
2014-12-23,1,912
2014-12-26,1,913
2014-12-27,2,915
2014-12-31,1,916
2015-01-02,1,917
2015-01-21,1,918
2015-01-31,6,924
2015-02-03,2,926
2015-02-09,1,927
2015-02-10,1,928
2015-02-27,1,929
2015-03-11,1,930
2015-03-13,4,934
2015-03-18,1,935
2015-03-25,2,937
2015-03-26,1,938
2015-03-27,2,940
2015-03-30,2,942
2015-03-31,4,946
2015-04-26,2,948
2015-04-27,1,949
2015-05-20,3,952
2015-05-27,2,954
2015-06-23,2,956
2015-06-26,1,957
2015-07-10,4,961
2015-07-15,3,964
2015-07-24,1,965
2015-07-25,2,967
2015-08-10,13,980
2015-08-11,1,981
2015-08-20,2,983
2015-08-27,2,985
2015-08-28,1,986
